timestamp,dataset_id,file_tag,instance_idx,algo,variant,seed,generations,time_ms,f,bk,ublp,gapLP_pct,gapBK_pct,deltaBK,div_hamming_avg,div_entropy_avg,stop_reason
2025-11-10T20:21:39.218645797Z,ORLIB,mknapcb1,11,GA_MKP,mut=0.0100;repair=true;ts=false,0,1559,18297,42710.000000,42757.000000,42939.522302,0.534525,0.109924,-47.000000,0.149083,0.426605,stagnation_1000
2025-11-10T20:21:47.524642466Z,ORLIB,mknapcb1,3,GA_MKP,mut=0.0100;repair=true;ts=true;tenure=9;steps=1200;vmin=0.0;vmax=0.02;lmbMin=0.1;lmbMax=10000;up=1.2;down=0.9,0,1018,17776,23494.000000,23551.000000,23895.828928,1.681586,0.242028,-57.000000,0.142410,0.482026,stagnation_1000
2025-11-10T20:22:00.085942369Z,ORLIB,mknapcb1,12,GA_MKP,mut=0.0100;repair=true;ts=false,0,1185,13939,42351.000000,42545.000000,42706.702095,0.832895,0.455988,-194.000000,0.154906,0.442737,stagnation_1000
2025-11-10T20:22:16.344279303Z,ORLIB,mknapcb1,4,GA_MKP,mut=0.0100;repair=true;ts=true;tenure=9;steps=1200;vmin=0.0;vmax=0.02;lmbMin=0.1;lmbMax=10000;up=1.2;down=0.9,0,1566,28863,23374.000000,23534.000000,23724.138568,1.475875,0.679867,-160.000000,0.157274,0.474038,stagnation_1000
2025-11-10T20:22:24.807930157Z,ORLIB,mknapcb1,13,GA_MKP,mut=0.0100;repair=true;ts=false,0,2960,31766,41858.000000,41968.000000,42165.187168,0.728533,0.262104,-110.000000,0.131650,0.406320,stagnation_1000
2025-11-10T20:22:27.940249203Z,ORLIB,mknapcb1,5,GA_MKP,mut=0.0100;repair=true;ts=true;tenure=9;steps=1200;vmin=0.0;vmax=0.02;lmbMin=0.1;lmbMax=10000;up=1.2;down=0.9,0,1047,18506,23886.000000,23991.000000,24223.030317,1.391363,0.437664,-105.000000,0.132240,0.453615,stagnation_1000
2025-11-10T20:22:44.240937464Z,ORLIB,mknapcb1,14,GA_MKP,mut=0.0100;repair=true;ts=false,0,1040,12556,44832.000000,45090.000000,45347.074057,1.135848,0.572189,-258.000000,0.150221,0.427775,stagnation_1000
2025-11-10T20:22:50.999531261Z,ORLIB,mknapcb1,15,GA_MKP,mut=0.0100;repair=true;ts=false,0,1041,13544,42123.000000,42218.000000,42434.122537,0.733190,0.225023,-95.000000,0.155189,0.436818,stagnation_1000
2025-11-10T20:23:02.934991260Z,ORLIB,mknapcb1,6,GA_MKP,mut=0.0100;repair=true;ts=true;tenure=9;steps=1200;vmin=0.0;vmax=0.02;lmbMin=0.1;lmbMax=10000;up=1.2;down=0.9,0,1927,34973,24493.000000,24613.000000,24884.237046,1.572228,0.487547,-120.000000,0.158405,0.483897,stagnation_1000
2025-11-10T20:23:05.764162757Z,ORLIB,mknapcb1,16,GA_MKP,mut=0.0100;repair=true;ts=false,0,1283,14632,42708.000000,42927.000000,43082.231019,0.868644,0.510168,-219.000000,0.146957,0.424530,stagnation_1000
2025-11-10T20:23:19.652028853Z,ORLIB,mknapcb1,17,GA_MKP,mut=0.0100;repair=true;ts=false,0,1234,14124,41782.000000,42009.000000,42190.597806,0.968457,0.540360,-227.000000,0.139493,0.412373,stagnation_1000
2025-11-10T20:23:21.184904887Z,ORLIB,mknapcb1,7,GA_MKP,mut=0.0100;repair=true;ts=true;tenure=9;steps=1200;vmin=0.0;vmax=0.02;lmbMin=0.1;lmbMax=10000;up=1.2;down=0.9,0,1056,18894,25521.000000,25591.000000,25793.401838,1.056091,0.273534,-70.000000,0.126346,0.434133,stagnation_1000
2025-11-10T20:23:32.128815550Z,ORLIB,mknapcb1,18,GA_MKP,mut=0.0100;repair=true;ts=false,0,1037,13587,44754.000000,45020.000000,45265.473430,1.129942,0.590849,-266.000000,0.155873,0.437956,stagnation_1000
2025-11-10T20:23:38.792052095Z,ORLIB,mknapcb1,8,GA_MKP,mut=0.0100;repair=true;ts=true;tenure=9;steps=1200;vmin=0.0;vmax=0.02;lmbMin=0.1;lmbMax=10000;up=1.2;down=0.9,0,1071,18702,23296.000000,23410.000000,23657.882201,1.529647,0.486971,-114.000000,0.104541,0.383109,stagnation_1000
